PK,Description
"4095","<span class='mytooltip'>Luisa Neubauer<span class='mytooltiptext'>Publicist and main coordinator of Fridays For Future-strikes in Germany. Is active in several NGO’s and advocates for a strict climate policy. Is nominally a member of The Greens, although inactive. Was part of the lawsuit against the Climate Protection Act of the Grand Coalition.</span></span>, the famous <span class='mytooltip'>Fridays For Future<span class='mytooltiptext'>An international grassroots movement since 2018, advocating for students to skip school or Uni and protest for climate action instead. Originated in Greta Thunberg’s “Skolstrejk För Klimatet” in Sweden.</span></span> activist, is a member of our party, but she’s been inactive. Maybe we can change that - I want to ask her to appear with us, in an official statement of support. I want to speak to the German youth that brought us where we are today, in some rallies all across Germany’s cities."
"4096","Annalena, despite some minor issues, has been a loyal and effective co-party-leader at my side - it’s only fair to appear with her before this monumental moment. I want to invite her home to my Northern love, Schleswig-Holstein, and appear in a gigantic rally in my native city of Lübeck, the hanseatic capital."
"4097","There will be state elections in Berlin and Mecklenburg-Vorpommern parallel to the federal elections. To project confidence and strength, I want to appear with Bettina Jarasch in Berlin to help make her the second Green head of state government. This is only the beginning of a Green decade in Europe!"
"4098","<span class='mytooltip'>Winfried Kretschmann<span class='mytooltiptext'>Minister-President of Baden-Württemberg (The Greens, since 2011). As the first Green Minister-President, he’s a leading part of their ecological-conservative wing and is partly known for his eccentric swabian dialect.</span></span> is the only Green Minister-President and a very important figure of the <span class='mytooltip'>Realo<span class='mytooltiptext'>“Realists”, name for the moderate, governance-focused wing of The Greens, who wish to enact change by working within the system. Since the first Green governments of the 90’s, they have steadily gained in influence.</span></span>-wing. If we want to win this thing, we’ll have to reach out towards the center, and he knows how. Let’s ask him to appear with us across South Germany."
"4099","It was a mistake to return to social media, it’s just not good for my temperament and our democratic discourse - I apologize for the remark and delete my accounts, this time for good."
"4100","First, I want to personally apologize to Markus Söder - I should have chosen my words more carefully. Then, I will delete that particular tweet. I can’t go back from social media, but from now on, I want my twitter account to be run by a team that double-checks my tweets."
"4101","People keep taking my words out of context - they might sound bad if you only hear a half-sentence, but overall, I stand by the gist of what I said. Markus Söder cares mostly for power, and uses his convictions primarily to get elected, instead of enacting change."
"4102","I recognize that my tweet was inappropriate and apologize for it. However, I want to to stay there, for purposes of recordkeeping. Censorship can not be the answer in our political discourse - as such, I reserve myself the right to keep writing whatever comes to mind. In this day and age, authenticity is the key to success."
"4103","Markus Söder knows how to score cheap political points. What we need in Germany is moral decency! He sidesteps conflicts, he solves them through the backroom, and does not possess the responsibility to act beyond his own self interests. We need a chancellor with a strong moral compass who isn’t afraid to make politically unpopular decisions."
"4104","On climate change, Markus Söder's record is dishonest. His goals might be sensible - but his measures are unsubstantial. He talks about energy transitions, but doesn't force the build-up of renewable energy. He is for nuclear energy, but woe me waste is stored in Bavaria. Tree-hugging and putting up bee hives does not equate to environmentalism - Söders pretensions clash with reality."
"4105","For the last 16 years, this country has suffered under the failings of the CSU. Markus Söder is emblematic of his party and their governing style. Missing concepts, no answers given; ""back to normality"" of past times instead of looking forward. The Greens stand for change and a politics that goes beyond the Status Quo of <span class='mytooltip'>Seehofer<span class='mytooltiptext'>Horst Seehofer, infamous CSU politician. After stints as Minister of Health (1992-1998) and Minister of Agriculture (2005-2008) he was the Minister-President of Bavaria (2008-2018). During his tenure, he vehemently opposed Merkel’s decision to welcome refugees in 2015. Afterwards, he became Minister of the Interior, mostly continuing his hardline stance.</span></span> and <span class='mytooltip'>Scheuer<span class='mytooltiptext'>Andreas “Andi” Scheuer, controversial CSU politician. As Minister of Transport (2018-2021), he has been the face of several scandals, especially since the failure of the Maut road toll-project (although it was developed by his predecessor Alexander Dobrindt). The botched project cost the state millions of Euros, making him the target of an inquiry committee.</span></span>."
"4106","Actually, I’ve changed my mind. The mudslinging isn’t worth it - after giving my usual critiques of both candidates, I’ll just wing it and rely on my instincts as a pragmatic idealist to rise above the pack."
"4107","The CDU/CSU has been in government for 16 years, the SPD for 8. A “back to normality” isn’t a desirable outcome - The Greens are designing politics beyond the Status Quo, we aren’t just administrators of standstill. If you vote for a Green chancellorship, you know things will change: we’ll give our society back its confidence and ability to act."
"4108","The situation is serious. We need more engagement with climate change, no politics of hold-up. If we wait any further, it will be expensive - not just environmentally, but also in our wealth and our freedom. The only way forward is ambitious climate action, with renewable energy, a higher price on CO² and technology investments."
"4109","Climate change is a social question. We have a growing inequality in this country that is threatening social peace and our prosperity. We need to change the system and take big corporations to task, with reforms to the debt ceiling and our tax system, as well as concepts to involve low earners in monetary earnings from higher CO²-prices."
"4110","Actually, screw this! I know they won’t hold back, so I won’t either. If no one can see how dire the situation really is, we have to take Söder and Scholz to task over their failed administrations. Years and years of standstill, and these just won’t admit that we need change. Someone has to stand up and fight!"
"4535","I stand by my course: 2011, 2018 and 2019 showed us how Germany is fed up with the excuses on climate change. On this issue, our politics has lost all links to reality, because it’s not radical enough. We can not decide against all the knowledge and all the facts about climate change, we need to do something!"
"4536","Stateliness and radicalism aren’t opposites! To really change something, we can’t just swallow the unshackling of global capitalism. We decided on taxing the rich as a party, but we’d be crazy if we didn’t think on a grander scale: instead of arguing about the instruments, we need to ask some critical questions about our economic system!"
"4537","Look, I get it. We need to win societal and parliamentary majorities, so that our country becomes more just. If that means tampering our rhetoric a bit, so be it. It is our job to provide a good offer for the progressive-left center of this country, and while that includes classically leftist answers, it also goes beyond them."
"4538","Ideology isn’t that important to me. I want to answer questions on important issues: what about older people in rural areas, what about the education system, the origins of poverty? We need to listen to different people; environmental protection, social justice and economic prosperity don’t contradict themselves. As a modern party, let us cast a broad net."
"4539","Look, ecological goals don’t just have to be ambitious, they have to be reachable, and affordable. We need to leave the image of a “prohibitory party” behind us - frankly, we have failed in the past with tax-raising-debates - instead we should support sensible, workable policies. Work from within the system - sticking to dogma doesn’t get us anywhere."
"4540","I wanted to broaden our appeal by showing how we’re open to all of society, open to other arguments. That said, our party needs a strongly defined profile, I agree. In the coming campaign, we should increasingly emphasize our environmentalism and center-left attitude."
"4541","Ugh! Yes, no, well… Where's the question?"
"4542","Campaigning is no easy feat. For ten days, I haven't done the dishes. The trash hasn't been put out. The milk is empty. This morning I ate cereal with water, no shit."
"4543","This is sort of a Green tradition, isn't it? Instead of wearing brand new clothing, I am trying to live a mostly sustainable lifestyle, saving on ressources. You could call it a political statement, of sorts."
"4544","For all of us, we have to have tolerance to the counter argument. The auto workers, the coal workers, the conventional agriculturists who fear too much environmentalism, they have a right to bring forth their arguments. And we are well advised to listen to these people, to further the living discourse of democracy."
"4545","So what? Patriotism is a dead concept of the 20th century. We do not have use for it nowadays. We need to think internationally, and finally throw off the shackles of nationalism in Germany, especially in light of what the AfD is saying these days."
"4546","This passage is from a book about “leftist patriotism” I wrote eleven years ago, and every serious politician knows that it’s abhorrently taken out of context. I don’t want to throw this comment back into the spotlight, let them say whatever they want."
"4547","I apologize, these sentences are definitely misleading as to my real position. Today, I wouldn’t write it like that."
"4548","These comments are taken wildly out of context, as anyone would see when looking at the actual passage. I have since come to see how we need to adopt a “leftist patriotism”, to positively relate to our society. Flag and anthem are not courtesy of the right wing populists, leftist parties also have to care about a sense of unity and home."
"4111","Me and Annalena are a team, and over the next weeks, I want to campaign as such. I’m going to visit her in her district in Potsdam, and I’m going to invite her back home to Schleswig-Holstein, where we’ll embark on a grand tour of Northern Germany."
"4112","Annalena, despite some differences between us, has been a loyal and effective co-party-leader at my side - it’s only fair to appear with her before this monumental moment. I want to invite her home to my Northern love, Schleswig-Holstein, and appear in a gigantic rally in my native city of Lübeck, the hanseatic capital."
"4113","They might be a bit weaker than they were four years ago, but the amount of votes the AfD is projected to receive is still way too high. It should be every democratic party’s duty to keep the nationalists out of parliament. Let’s show off their misgivings."
"4549","Annalena, look: Politics in this country is brutal. Between boulevard-journalists and ruthless conservatives, they’re gonna jump on an ambitious person like you.The people, unfortunately, still seek one thing above all: strength. I’m gonna be frank; <i>a woman can’t win this race.</i> I wish it was different, but it isn’t. If The Greens are to be taken seriously, we have to be honest with ourselves here!"
"4550","I don’t want anything more than to serve this republic as chancellor. But I also don’t want to make this difficult. We can’t afford the perception to throw away our principles of Gender equality just for the sake of power. You’re passionate, determined and ready for sacrifices - you need to do it, Annalena."
"4551","I don’t like to be this cynical, but at the end of the day, it’s a numbers game. My polling looks good, while the people barely know you, Annalena. That’s going to change - but if we want to govern, we need to win, and we can’t take any chances with unknown variables. The people know me, we can work from there. And if I can’t make it, you’ll be popular enough by the next election to take over."
"4552","This isn’t just about the election Annalena, but also about leading a cabinet, a government, a country! In Schleswig-Holstein, I’ve shown how to lead the ecological transformation of our economy forwards. I’ve walked the walk in coalition talks, successfully. You are a capable woman, and you’re of course going to get a post, but this chancellor thing, you need to know your way around the executive."
"4553","In hindsight, maybe we need the visibility after all. I’m going to rejoin Twitter and Facebook and post regular announcements, my appearances in debates and talk shows as well as standard campaign rhetoric. Better too late than not at all, I suppose."
"4554","It’s important that all wings of our party stay united and motivated to vote. Let’s campaign with Friedrich Merz to show that I’m taking people like him and his positions seriously - the Greens have a clear profile, and I’m proud to stand with him for our values!"
"4555","Okay, hear me out. This campaign needs a wildcard. This whole time, the Greens are always portrayed as “woke” or something. We could really turn some heads if we show that we’re serious about my pivot on refugees, and there’s only one person in our party who could do that: <span class='mytooltip'>Boris Palmer<span class='mytooltiptext'>Formerly Green Mayor of Tübingen in Baden-Württemberg, since 2007. In his party, he ruffled many feathers not just with his very moderate policies, but in 2015, he came out with a quite conservative take on refugees. In 2023, he left the party. His dad is also known as an eccentric figure, running as an independent in over 250 mayoral races.</span></span>."
