PK,Description,opportunism,laschetMean,merkelPoints,bavariaPoints
4085,"We can’t have a repeat of the refugee crisis of <span class='mytooltip'>2015<span class='mytooltiptext'>In 2015, about 2 million people sought refuge in Europe, coming from the Mediterranean Sea and the Balkans. A great amount had been held up in Hungary, until Merkel unilaterally decided to let them come to Germany. About 400k Syrians fled to Germany during this time.</span></span>. We need to take in some refugees, yes, but more clearly, we need to accept that there have to be upper limits and contingents for immigration  – we can not safe the whole world. We need to massively limit the fallout of this situation by securing our borders.",-1,,,
4086,"Olaf Scholz is struggling in the polls, but he’s still our main competitor for a lot of voters with his wannabe-Merkel attitude. It seems foolish to do anything but attack him on his many weaknesses.",,,,
4087,"Habeck is a strong candidate, and my main opponent for the chancellorship. But he isn’t invulnerable - and with the right tone, we could sweep some of his voters right from under his feet. Let’s focus on him.",,,,
4088,I will leave petty attacks to my opponents and focus more on policy. I’m certain the German people will appreciate hearing concrete solutions to their problems more than attacks. This isn’t America.,,,,
4089,"Actually, I don’t want two left-wing politicians to gang up on me. This format is not up to the times and I can guarantee, time will not be allotted fairly to the only conservative party at the table. Thus, I must decline this invitation.",,,,
4090,"He likes to present himself as a moderate, but he hasn’t completely ruled out a coalition with the extremist Left party. Can voters really trust him not to form this coalition after the election?",,,,
4091,"Let’s hit him on his scandals as finance minister. Under his watch, <span class='mytooltip'>Wirecard<span class='mytooltiptext'>Financial company, who ran a bank until 2020, when they shut down due to several billion Euros missing. The regulatory organization under Minister of Finances Olaf Scholz was heavily criticized for its lack of action, despite being informed about the inconsistencies.</span></span> collapsed due to fraudulent dealings and lots of people lost their money. We need to poke attention to the police raid on a government office belonging to his ministry - he refuses to take responsibility.",,,,
4092,"Scholz likes to pretend he’s a moderate, but the program of his party is very leftwing, especially regarding pensions and the minimum wage. It shows that the SPD as a whole is unfit to govern, and a symbol of past days.",,,,
4093,"Actually, I’ve changed my mind. The mudslinging isn’t worth it - after giving my usual critiques I’ll just wing it and rely on my instincts as a populist to rise above the pack.",,,,
4094,"Robert Habeck lacks the character to be chancellor. His background is elitist and unrelatable, he goes on childish rants on twitter and he egregiously pushed away his female co-party chair from the top-post.",,,,
4095,"Everyone on this stage agrees that something has to be done about climate change, but what Mr Habeck and his party want can’t be the solution! Don’t get it wrong: you have to be affluent to vote Green. I am worried that Germany would lose jobs and fall behind under a chancellor Habeck - the CDU/CSU is the true party of the environment.",,,,
4096,"I’ll attack him for his willingness to govern with the radical Left party. Moderates should be frightened by this prospect, there should be a firewall against Radicals of all stripes, and entertaining a coalition with the Left, as the Greens do, is irresponsible.",,,,
4097,"Actually, I’ve changed my mind. The mudslinging isn’t worth it - after giving my usual critiques I’ll just wing it and rely on my instincts as a populist to rise above the pack.",,,,
4098,"The CSU is the party of climate action - we founded the first environmental protection Ministry in all of Germany, in 1970. We need a new push in talking climate, moving away from coal and towards regenerative energy with a concrete plan of action - I have the economic competence to lead us through this crisis without tempo limits or flight bans.",,,,
4099,"With two left-leaning politicians debating with me, I will present myself as the voice of reason. We’re not in an ideological bubble - politics need to take care of the political center. We need a strong state when talking about security, and a liberal and worldly state when talking about the people’s quality of life. This is the compass to the future.",,,,
4100,Bavaria is the most successful state in Germany. We have low unemployment and offer good opportunities. Bavaria works - I will do the same to Germany. My administration will both be a continuity of the efficiency of the Merkel years and a new start.,,,,1
4101,"Actually, screw this! I know they won’t hold back, so I won’t either. We have enough ammunition to show Habecks and Scholz’ incompetence, and I shouldn’t be afraid to use it. That way, I can sharpen my profile and show myself as the most competent candidate.",,,,
4528,Let's hope Ziemiak gets me some good headlines.,,,,
4529,Let's hope Ziemiak gets me some good headlines.,,,,
4530,Let's hope Ziemiak gets me some good headlines.,,,,
4531,Let's hope Ziemiak gets me some good headlines.,,,,
4102,"It’s important that all wings of our party stay united and motivated to vote. Let’s campaign with Friedrich Merz to show that I’m taking people like him and his positions seriously - the CDU/CSU has a clear profile, and I’m proud to stand with him for our values!",,,,
4103,"Who else but Chancellor Angela Merkel could be the right person? She is a figure larger than life, an electoral juggernaut who has won the last four contests, and I want to show people that I’m the one to build on her legacy.",,,,
4104,"No matter what happens, we have to make sure the right-wing demagogues do not increase their vote shares. I’m worried about the AfD taking first place in some East German states, and direct mandates could go to them: I need to campaign broadly in the <span class='mytooltip'>New States<span class='mytooltiptext'>“Neue Bundesländer”. Somewhat archaic name for the East German states that joined West Germany in 1990.</span></span>, with local colleagues like <span class='mytooltip'>Haseloff<span class='mytooltiptext'>Reiner Haseloff, Minister-President of Sachsen-Anhalt (CDU, since 2011). Grew up in East Germany, and joined the CDU- block party in the DDR early on. Generally uncontroversial and respected.</span></span> and <span class='mytooltip'>Kretschmer<span class='mytooltiptext'>Michael Kretschmer, Minister-President of Saxony (Since 2017). Traveled to Moscow, and at several points demanded the sanctions against Russia be lifted. Was also somewhat of a soft Covid-skeptic in 2020, but changed course later on.</span></span>.",,,,
4105,"Armin Laschet, party leader of the CDU and my past rival, could help me mobilize voters in North Rhine-Westphalia, the most populous state. I want to burry the hatched and show how the Union is united to win this election once again!",,,,
4106,"Now, it’s time for payoff. I’m sure Laschet will try to force a vote by the party elites - I’m going to welcome this, he’ll be surprised by how much support I have even among them. If even the upper CDU echelons stand with me against him, there will be nothing in my way.",-1,,,
4107,"During the next few days, I will hammer my main argument again and again - I have the better polling numbers, and I’m the one who can lead the CDU/CSU to victory in the fall. I   will showcase several district candidates who are already distancing themselves from Laschet. He would lose, him and the rest of the party have to accept this.",1,1,,
4108,"The party parliamentary group of CDU and CSU shall vote on this. They want to get reelected - with my strong numbers, I’m confident they’ll see me as the better option and pick me over Laschet.",,,,
4109,"The party parliamentary group of CDU and CSU shall vote on this. They want to get reelected - with my strong numbers, I’m confident they’ll see me as the better option and pick me over Laschet.",,,,
4110,"Now, it’s time for payoff. I’m sure Laschet will try to force a vote by the party elites - I’m going to welcome this, he’ll be surprised by how much support I have even among them. If even the upper CDU echelons stand with me against him, there will be nothing in my way.",-1,,,
4111,"During the next few days, I will hammer my main argument again and again - I have the better polling numbers, and I’m the one who can lead the CDU/CSU to victory in the fall. I   will showcase several district candidates who are already distancing themselves from Laschet. He would lose, him and the rest of the party have to accept this.",1,1,,
4112,"The party parliamentary group of CDU and CSU shall vote on this. They want to get reelected - with my strong numbers, I’m confident they’ll see me as the better option and pick me over Laschet.",,,,
4113,"The party parliamentary group of CDU and CSU shall vote on this. They want to get reelected - with my strong numbers, I’m confident they’ll see me as the better option and pick me over Laschet.",,,,
4532,"I stand by my moderate credentials, I am a proud Christian Democrat. However, we are competing with two left-wing alternatives: in order to win a strong mandate, we need to return to some of my leftwing pivots from the past - they are what brought me success.",3,,,
4533,"The CDU/CSU are the parties of the center. We have done a great job at governing over the last 16 years, and while we need to move into the future, our future is a Christian-Democratic one. I stand by my course.",-1,,1,
4534,"Friedrich Merz has tapped into a surprisingly large voter potential in 2018: Merkel-sceptic conservatives. The chancellor has become popular with voters of the other parties - for us, some of her policies are a bit more controversial. On these issues, we definitely need to move rightwards - to provide for a real alternative to the Greens and SPD.",2,,,
4535,"I stand for what I think is right, but it’s become clear to me we need to defuse ourselves. Let’s reconcile with the CDU and Merkel - so that their supporters won’t defect to the Liberals, or even our opponents.",2,,1,
4536,"Yes. I stand for what I believe is right in this country, and it’s clear how we need a change in attitude in Germany to stay competitive. Our standing in the world is decreasing, and we need to work towards improving our country to be the best it can be, because we are patriots.",-1,,,
4537,"Look - chancellor Merkel is a competent woman who I respect. But the fact of the matter is, her policies have tilted leftwards, both socially and economically. What our country needs in the post-Merkel era are policies more in line with conservative doctrines - the AfD’s success has shown that. If anything, we need to come back to our roots and move this country to the right.",1,,,
4538,"While the results in Saxony-Anhalt are definitely praiseworthy, me and my surrogates should focus on my main contender, Robert Habeck. We’re running a national campaign - and directly dealing with our opponent might be better.",2,,,
